Year,Program,Discipline,Registered_Students,Placed_Students,Placement_Percentage,Avg_CTC_LPA,Median_CTC_LPA
2019-20,BTech,CSE,35,31,88.57,11.3,10.9
2019-20,BTech,EE,35,21,60,11.3,10.9
2019-20,BTech,ME,29,6,20.69,11.3,10.9
2019-20,MTech,CSE,8,7,87.5,8.3,7.42
2019-20,MTech,EE,4,1,25,8.3,7.42
2019-20,MTech,ME,7,1,14.29,8.3,7.42
2019-20,Overall,Total,118,67,56.78,10.89,10.8
2020-21,BTech,CSE,38,33,86.84,11.82,9
2020-21,BTech,EE,38,19,50,11.82,9
2020-21,BTech,ME,36,14,38.89,11.82,9
2020-21,MTech,CSE,6,6,100,10.56,11
2020-21,MTech,EE,9,1,11.11,10.56,11
2020-21,MTech,ME,5,0,0,10.56,11
2020-21,MSc,Mathematics and Computing,1,0,0,,
2020-21,Overall,Total,133,73,54.89,11.72,9
2021-22,BTech,CSE,43,40,93.02,13.62,13.75
2021-22,BTech,EE,42,39,92.86,13.62,13.75
2021-22,BTech,ME,34,28,82.35,13.62,13.75
2021-22,MTech,CSE,5,5,100,11.31,11
2021-22,MTech,EE,2,0,0,11.31,11
2021-22,MTech,ME,6,3,50,11.31,11
2021-22,MSc,Physics,1,0,0,,
2021-22,MSc,Mathematics and Computing,3,0,0,,
2021-22,Overall,Total,136,115,84.56,14.12,12.25
2022-23,BTech,CSE,44,35,79.55,15.31,15
2022-23,BTech,EE,37,34,91.89,15.31,15
2022-23,BTech,ME,32,28,87.5,15.31,15
2022-23,MTech,CSE,3,3,100,11.87,10.38
2022-23,MTech,DSAI,8,8,100,11.87,10.38
2022-23,MTech,EE,3,3,100,11.87,10.38
2022-23,MTech,ME,4,4,100,11.87,10.38
2022-23,MSc,Physics,1,1,100,6.11,6.22
2022-23,MSc,Chemistry,1,1,100,6.11,6.22
2022-23,MSc,Mathematics and Computing,4,2,50,6.11,6.22
2022-23,Overall,Total,137,119,86.86,14.48,14.7
2023-24,BTech,CSE,44,37,84.09,13.09,12
2023-24,BTech,DSAI,16,15,93.75,13.09,12
2023-24,BTech,EE,40,20,50,13.09,12
2023-24,BTech,ME,26,19,73.08,13.09,12
2023-24,MTech,CSE,3,3,100,9.63,10.2
2023-24,MTech,DSAI,3,3,100,9.63,10.2
2023-24,MTech,EE,1,0,0,9.63,10.2
2023-24,MTech,ME,2,0,0,9.63,10.2
2023-24,MTech,Mechatronics,2,2,100,9.63,10.2
2023-24,BTech+MTech(DD),CSE,1,1,100,7,7
2023-24,MSc,Physics,3,2,66.67,7.8,8
2023-24,MSc,Chemistry,1,1,100,7.8,8
2023-24,MSc,Mathematics and Computing,4,2,50,7.8,8
2023-24,PhD,ME,3,0,0,0,0
2023-24,PhD,Chemistry,1,0,0,0,0
2023-24,Overall,Total,150,105,70,12.51,11
2024-25,BTech,CSE,44,34,77.27,15.1,12
2024-25,BTech,DSAI,20,18,90,15.1,12
2024-25,BTech,EE,41,30,73.17,15.1,12
2024-25,BTech,ME,25,20,80,15.1,12
2024-25,MTech,BE,5,3,60,8.26,7.29
2024-25,MTech,CSE,9,8,88.89,8.26,7.29
2024-25,MTech,C&I,3,1,33.33,8.26,7.29
2024-25,MTech,DSAI,16,9,56.25,8.26,7.29
2024-25,MTech,DM,4,4,100,8.26,7.29
2024-25,MTech,EVT,3,3,100,8.26,7.29
2024-25,MTech,ECE,2,1,50,8.26,7.29
2024-25,MTech,MSME,1,0,0,8.26,7.29
2024-25,MTech,MT,1,1,100,8.26,7.29
2024-25,MTech,PSPE,1,0,0,8.26,7.29
2024-25,MTech,TFE,3,2,66.67,8.26,7.29
2024-25,MSc,Chemistry,1,1,100,7.18,7.125
2024-25,MSc,Mathematics and Computing,6,2,33.33,7.18,7.125
2024-25,MSc,Physics,1,1,100,7.18,7.125
2024-25,PhD,ME,2,1,50,10,10
2024-25,PhD,LA,1,0,0,10,10
2024-25,Overall,Total,189,139,73.54,13.28,11.4
